Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
UBE2T	gene	UBE2T	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group T, 616435				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000077152	ENSG00000077152	HGNC:25009													
UNC13D	gene	UNC13D	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Hemophagocytic lymphohistiocytosis, familial 3, 608898;Diseases of Immune Dysregulation;Familial hemophagocytic lymphohistiocytosis syndromes (FHLH);HPLH3;HLH3;FHL3;Fever, HSM, HLH, cytopenias,				15632205;14622600;16278825;15703195;17993578		False	3	100;0;0	1.143	False		ENSG00000092929	ENSG00000092929	HGNC:23147													
UNC93B1	gene	UNC93B1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;Literature;London North GLH;Melbourne Genomics Health Alliance Immunology Flagship;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Herpetic encephalitis (HSE);Herpes simplex virus 1 encephalitis;Herpes simplex encephalitis, susceptibility to, 1;{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 1} 610551;Herpes simplex encephalitis;Defects in Intrinsic and Innate Immunity				16973841;16415873;29768176;26621750		False	3	100;0;0	1.143	False		ENSG00000110057	ENSG00000110057	HGNC:13481													
UNG	gene	UNG	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Hyper IgM syndrome with lymphoid hyperplasia;Immunodeficiency with hyper IgM, type 5, 608106;Enlarged lymph nodes and germinal centers;Predominantly Antibody Deficiencies;CSR defects and Hyper IgM (HIGM) syndromes;Immunodeficiency with hyper IgM, type 5				12958596		False	3	100;0;0	1.143	False		ENSG00000076248	ENSG00000076248	HGNC:12572													
USB1	gene	USB1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Poikiloderma with neutropenia, 604173;Clericuzio-type poikiloderma with neutropenia syndrome;Congenital defects of phagocyte number or function;Retinopathy, developmental delay, facial dysmorphisms, poikiloderma				20503306;20004881		False	3	100;0;0	1.143	False		ENSG00000103005	ENSG00000103005	HGNC:25792													
USP18	gene	USP18	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Pseudo-TORCH syndrome 2, 617397;Autoinflammatory Disorders;TORCH like syndrome				32086639;32048120;31272490;27325888		False	3	50;50;0	1.143	False		ENSG00000184979	ENSG00000184979	HGNC:12616													
VPS13B	gene	VPS13B	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Cohen syndrome, 216550;Congenital defects of phagocyte number or function;Dysmorphism, mental retardation, obesity, deafness, neutropenia;Cohen syndrome				24311531;15211651;12730828;20461111;15154116		False	3	100;0;0	1.143	False		ENSG00000132549	ENSG00000132549	HGNC:2183													
VPS45	gene	VPS45	Congenital neutropaenia v1.22;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	VPS45 deficiency (SCN5);Neutropenia, severe congenital 5;Congenital defects of phagocyte number or function;Extramedullary hematopoiesis, bone marrow fibrosis, nephromegaly;Neutropenia, severe congenital, 5, autosomal recessive, 615285				23599270;23738510		False	3	100;0;0	1.143	False		ENSG00000136631	ENSG00000136631	HGNC:14579													
WAS	gene	WAS	Combined B and T cell defect v1.12;Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Wiskott-Aldrich syndrome (WAS);Combined immunodeficiencies with associated or syndromic features;Neutropenia, myeloid maturation arrest, monocytopenia, variable lymphoid anomalies;Congenital neutropenia;X-linked thrombocytopenia;Congenital defects of phagocyte number or function;X-linked thrombocytopenia with mutations in WASP;Thrombocytopenia with small platelets, recurrent bacterial and viral infections, bloody diarrhea, eczema, lymphoma, autoimmune disease, IgA nephropathy, vasculitis;Neutropenia, severe congenital, X-linked, 300299;XL thrombocytopenia is a mild form of WAS, and XL neutropenia is caused by missense mutations in the GTPase binding domain of WASp;Wiskott-Aldrich syndrome				11242115;16804117		False	3	100;0;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000015285	ENSG00000015285	HGNC:12731													
WDR1	gene	WDR1	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Mild neutropenia, poor wound healing, severe stomatitis, neutrophil nuclei herniate;Congenital defects of phagocyte number or function				32086639;32048120;27557945		False	3	0;100;0	1.143	False		ENSG00000071127	ENSG00000071127	HGNC:12754													
WIPF1	gene	WIPF1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	WIP deficiency;?Wiskott-Aldrich syndrome 2 614493;Wiskott-Aldrich syndrome like, WIP deficiency;Combined immunodeficiencies with associated or syndromic features;Thrombocytopenia with or without small platelets, recurrent bacterial and viral infections, eczema, bloody diarrhea, WAS protein absent				11869681;22231303;9405671;14757742;27742395		False	3	100;0;0	1.143	False		ENSG00000115935	ENSG00000115935	HGNC:12736													
WRAP53	gene	WRAP53	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Bone marrow failure;Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation;Combined immunodeficiencies with associated or syndromic features;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;microcephaly, neurodevelopmental delay				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000141499	ENSG00000141499	HGNC:25522													
XIAP	gene	XIAP	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Lymphoproliferative syndrome, X-linked, 2 (XLP2);inflammatory bowel disease;300635;splenomegaly;Diseases of Immune Dysregulation;X-linked lymphoproliferative syndrome (XLP);haemophagocytic lymphohistiocytosis;Lymphoproliferative syndrome, X-linked, 2;EBV infection, Splenomegaly, lymphoproliferation, HLH, Colitis, IBD, hepatitis, Low iNKT cells, hypogammaglobulinemia				25943627;21119115;17080092;21173700;22228567		False	3	100;0;0	1.143	False		ENSG00000101966	ENSG00000101966	HGNC:592													
XRCC2	gene	XRCC2	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	?Fanconi anemia, complementation group U, 617247				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000196584	ENSG00000196584	HGNC:12829													
ZAP70	gene	ZAP70	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Selective T-cell defect;Combined immunodeficiency;Autoimmune disease, multisystem, infantile-onset, 2;Immunodeficiency 48;Severe Combined Immune Deficiency;Diseases of Immune Dysregulation;Immunodeficiencies affecting cellular and humoral immunity;Severe autoimmunity;Zap-70 deficiency;May have immune dysregulation, autoimmunity;Severe combined immunodeficiency (SCID)						False	3	100;0;0	1.143	False		ENSG00000115085	ENSG00000115085	HGNC:12858													
ZBTB24	gene	ZBTB24	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiencies with associated or syndromic features;Immunodeficiency-centromeric instability-facial anomalies syndrome-2 614069;Immunodeficiency centromeric instability facial anomalies syndrome (ICF);Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16				21906047;21596365		False	3	100;0;0	1.143	False		ENSG00000112365	ENSG00000112365	HGNC:21143													
ZNF341	gene	ZNF341	Expert Review Green;IUIS Classification December 2019;Literature	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Hyper-IgE syndrome;Combined immunodeficiencies with associated or syndromic features;Bacterial infections, mild facial dysmorphism, pneumatoceles, hyperextensible joints, bone fractures, retention of primary teeth				32086639;29907691;32048120;29907690		False	3	67;33;0	1.143	False		ENSG00000131061	ENSG00000131061	HGNC:15992													
APOE	gene	APOE	Expert Review Amber;Literature	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	dementia				32451547		False	2	0;0;0	1.143	False		ENSG00000130203	ENSG00000130203	HGNC:613													
ATF3	gene	ATF3	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000162772	ENSG00000162772	HGNC:785													
ATG16L1	gene	ATG16L1	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					30666959;29367244;32265919;30510929		False	2	0;100;0	1.143	False		ENSG00000085978	ENSG00000085978	HGNC:21498													
ATG5	gene	ATG5	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000057663	ENSG00000057663	HGNC:589													
BECN1	gene	BECN1	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000126581	ENSG00000126581	HGNC:1034													
CCR7	gene	CCR7	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000126353	ENSG00000126353	HGNC:1608													
CD207	gene	CD207	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000116031	ENSG00000116031	HGNC:17935													
CD28	gene	CD28	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000178562	ENSG00000178562	HGNC:1653													
CD4	gene	CD4	ESID Registry 20171117;Expert Review Amber	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Selective CD4 cell deficiency;OKT4 epitope deficiency, 613949;Absence of CD4+ T cells;exuberant, relapsing, treatment-refractory warts				25611551;31781092		False	2	0;50;50	1.143	False		ENSG00000010610	ENSG00000010610	HGNC:1678													
CLEC4M	gene	CLEC4M	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown	SARS infection, protection against, 605872				16991095;16369534;12738250;16364081;17321900;18697825;17534354;17534355;15496474		False	2	0;0;100	1.143	False		ENSG00000104938	ENSG00000104938	HGNC:13523													
CPT2	gene	CPT2	Expert Review Amber;OMIM	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	{Encephalopathy, acute, infection-induced, 4, susceptibility to} 614212				15811315;18306170;20934285;21697855		False	2	0;100;0	1.143	False		ENSG00000157184	ENSG00000157184	HGNC:2330													
CX3CR1	gene	CX3CR1	Expert Review Amber;OMIM	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	{Rapid progression to AIDS from HIV1 infection} 609423				14607932;9726990;14607932;10731151;28228284		False	2	0;100;0	1.143	False		ENSG00000168329	ENSG00000168329	HGNC:2558													
CXADR	gene	CXADR	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000154639	ENSG00000154639	HGNC:2559													
CXCR3	gene	CXCR3	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					27412416;19039768;30109979;26318079;30467622		False	2	0;100;0	1.143	False		ENSG00000186810	ENSG00000186810	HGNC:4540													
DDX58	gene	DDX58	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown					21939710;16625202;15737993;25749629		False	2	0;0;0	1.143	False		ENSG00000107201	ENSG00000107201	HGNC:19102													
DEFA1	gene	DEFA1	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					32457744		False	2	0;100;0	1.143	False		ENSG00000206047	ENSG00000206047	HGNC:2761													
DPP4	gene	DPP4	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown	Susceptiblity to MERS-CoV infection				32336077;32394639;23486063;24554656;24599590;25589660;26124093;https://doi.org/10.1101/2020.04.30.071274;31883094;31964246		False	2	0;100;0	1.143	False		ENSG00000197635	ENSG00000197635	HGNC:3009													
DSG2	gene	DSG2	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					21151137;30862836		False	2	0;0;0	1.143	False		ENSG00000046604	ENSG00000046604	HGNC:3049													
EIF3M	gene	EIF3M	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					20676407;15919898		False	2	0;0;0	1.143	False		ENSG00000149100	ENSG00000149100	HGNC:24460													
FCMR	gene	FCMR	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					32073687;29461978;28747342;23359703		False	2	0;0;0	1.143	False		ENSG00000162894	ENSG00000162894	HGNC:14315													
FEZ1	gene	FEZ1	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					30815230;15843383;15879557;19667186;25818806;28930676;25495476		False	2	0;0;0	1.143	False		ENSG00000149557	ENSG00000149557	HGNC:3659													
FOLR1	gene	FOLR1	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000110195	ENSG00000110195	HGNC:3791													
FURIN	gene	FURIN	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown					25974265;32362314		False	2	0;0;0	1.143	False		ENSG00000140564	ENSG00000140564	HGNC:8568													
FUT2	gene	FUT2	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	{Norwalk virus infection, resistance to}				12692541;30845670		False	2	100;0;0	1.143	False		ENSG00000176920	ENSG00000176920	HGNC:4013													
GC	gene	GC	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;0;100	1.143	False		ENSG00000145321	ENSG00000145321	HGNC:4187													
GNAQ	gene	GNAQ	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000156052	ENSG00000156052	HGNC:4390													
GPATCH3	gene	GPATCH3	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000198746	ENSG00000198746	HGNC:25720													
GPR183	gene	GPR183	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000169508	ENSG00000169508	HGNC:3128													
GUCY2C	gene	GUCY2C	Expert Review Amber;GOSH PID v.8.0;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	meconium ileus, 614665;Diarrhea 6, 614616						False	2	0;60;40	1.143	False		ENSG00000070019	ENSG00000070019	HGNC:4688													
IDE	gene	IDE	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000119912	ENSG00000119912	HGNC:5381													
IFNL3	gene	IFNL3	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000197110	ENSG00000197110	HGNC:18365													
IL18	gene	IL18	ESID Registry 20171117;Expert Review Amber	COVID-19 research		Viral research	Unknown	Defects with susceptibility to mycobacterial infection (MSMD)				15606801;25395539;31660404		False	2	0;100;0	1.143	False		ENSG00000150782	ENSG00000150782	HGNC:5986													
IL3	gene	IL3	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000164399	ENSG00000164399	HGNC:6011													
IL7	gene	IL7	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	{?Epidermodysplasia verruciformis, susceptibility to, 5}, 618309				31900472;25981006		False	2	0;100;0	1.143	False		ENSG00000104432	ENSG00000104432	HGNC:6023													
IL9	gene	IL9	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000145839	ENSG00000145839	HGNC:6029													
ILF3	gene	ILF3	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000129351	ENSG00000129351	HGNC:6038													
ITGAM	gene	ITGAM	Expert Review Amber;GRID V2.0;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Systemic lupus erythematous				29712964;32257537		False	2	0;100;0	1.143	False		ENSG00000169896	ENSG00000169896	HGNC:6149													
ITPKB	gene	ITPKB	Expert list;Expert Review Amber	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency, absent T cells, present B cells and NK cells				31987846;14517551		False	2	0;100;0	1.143	False		ENSG00000143772	ENSG00000143772	HGNC:6179													
IVNS1ABP	gene	IVNS1ABP	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown							False	2	0;50;50	1.143	False		ENSG00000116679	ENSG00000116679	HGNC:16951													
KHDRBS1	gene	KHDRBS1	Expert Review Amber;Other	COVID-19 research		Viral research	Unknown					12529443;26695943;26202240;27057671;15701759;31068419		False	2	0;0;0	1.143	False		ENSG00000121774	ENSG00000121774	HGNC:18116													
KRAS	gene	KRAS	ESID Registry 20171117;Expert Review Amber;GRID V2.0	COVID-19 research		Viral research	Unknown	RALD;RAS-associated autoimmune leukoproliferative disorder, 614470				21079152;21063026		False	2	0;100;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000133703	ENSG00000133703	HGNC:6407													
LILRB1	gene	LILRB1	Expert Review Amber;Other	COVID-19 research		Viral research	Unknown	HCMV susceptibility				30461037;32321755;29528338		False	2	0;0;0	1.143	False		ENSG00000104972	ENSG00000104972	HGNC:6605													
MICA	gene	MICA	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown	primary immunodeficiency				https://doi.org/10.1101/499988;28925058;31033131;15029237;27130430;21762746		False	2	0;0;100	1.143	False		ENSG00000204520	ENSG00000204520	HGNC:7090													
MIF	gene	MIF	Expert Review Amber;Other	COVID-19 research		Viral research	Unknown	{Rheumatoid arthritis, systemic juvenile, susceptibility to}, 604302				17909632		False	2	0;0;0	1.143	False		ENSG00000240972	ENSG00000240972	HGNC:7097													
MIR155	gene	MIR155	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		-	ENSG00000283904	HGNC:31542													
MRC1	gene	MRC1	Expert Review Amber;Other	COVID-19 research		Viral research	Unknown					12645947;24016730;24969847;23653008;22393309;22392581		False	2	0;0;0	1.143	False		ENSG00000120586	ENSG00000260314	HGNC:7228													
MRE11	gene	MRE11	ESID Registry 20171117;Expert Review Amber;GRID V2.0	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	AT-like disorder;Ataxia-telangiectasia-like disorder 1 604391				8445618;10612394;15574463;32212377;29709199		False	2	0;25;75	1.143	False		ENSG00000020922	ENSG00000020922	HGNC:7230													
MX2	gene	MX2	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					15184662;24048477;25571928;8798556;32345362;30333168		False	2	0;100;0	1.143	False		ENSG00000183486	ENSG00000183486	HGNC:7533													
NECTIN1	gene	NECTIN1	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000110400	ENSG00000110400	HGNC:9706													
NLRP6	gene	NLRP6	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000174885	ENSG00000174885	HGNC:22944													
NPC1	gene	NPC1	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000141458	ENSG00000141458	HGNC:7897													
NRAS	gene	NRAS	ESID Registry 20171117;Expert Review Amber;GOSH PID v.8.0;GRID V2.0;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	Other	Ras associated lymphoproliferative disease (RALD);Autoimmune lymphoproliferative syndrome type IV;RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic 614470				21079152;5896945;17517660;29141318		False	2	40;60;0	1.143	False		ENSG00000213281	ENSG00000213281	HGNC:7989													
PDGFRA	gene	PDGFRA	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000134853	ENSG00000134853	HGNC:8803													
PSMA3	gene	PSMA3	Expert Review Amber;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	Unknown	CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome)				26524591		False	2	25;50;25	1.143	False		ENSG00000100567	ENSG00000100567	HGNC:9532													
PSMB10	gene	PSMB10	Expert Review Amber;Literature	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Proteasome-associated autoinflammatory syndrome (PRAAS)				31783057		False	2	50;50;0	1.143	False		ENSG00000205220	ENSG00000205220	HGNC:9538													
PSMB4	gene	PSMB4	Expert Review Amber;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome)				26524591		False	2	20;80;0	1.143	False		ENSG00000159377	ENSG00000159377	HGNC:9541													
PSMB9	gene	PSMB9	Expert Review Amber;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome);Autoinflammation, lipodystrophy, and dermatosis syndrome				26524591;33727065;34819510		False	2	25;75;0	1.143	False		ENSG00000240065	ENSG00000240065	HGNC:9546													
PTX3	gene	PTX3	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000163661	ENSG00000163661	HGNC:9692													
PVR	gene	PVR	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown							False	2	0;100;0	1.143	False		ENSG00000073008	ENSG00000073008	HGNC:9705													
RC3H1	gene	RC3H1	Expert Review Amber;Literature	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Hemophagocytic lymphohistiocytosis				31636267;15917799		False	2	0;100;0	1.143	False		ENSG00000135870	ENSG00000135870	HGNC:29434													
SCARB1	gene	SCARB1	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown							False	2	0;0;0	1.143	False		ENSG00000073060	ENSG00000073060	HGNC:1664													
SERINC3	gene	SERINC3	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown					26416733;26416734		False	2	0;100;0	1.143	False		ENSG00000132824	ENSG00000132824	HGNC:11699													
SERINC5	gene	SERINC5	Expert Review Amber;Literature	COVID-19 research		Viral research	Unknown					26416734;31918727		False	2	0;100;0	1.143	False		ENSG00000164300	ENSG00000164300	HGNC:18825													
SLC2A1	gene	SLC2A1	Expert list;Expert Review Amber	COVID-19 research		Viral research	Unknown					15767416;22308487		False	2	0;100;0	1.143	False		ENSG00000117394	ENSG00000117394	HGNC:11005													
TBX21	gene	TBX21	Expert list;Expert Review Amber	COVID-19 research		Viral research	Unknown	{Asthma, aspirin-induced, susceptibility to}, 208550;susceptibility to chronic HBV and HCV infection				15806396;17378728;19473434;29399747		False	2	0;100;0	1.143	False		ENSG00000073861	ENSG00000073861	HGNC:11599													
TNFSF10	gene	TNFSF10	Expert list;Expert Review Amber;OMIM	COVID-19 research		Viral research	Unknown					18802095;14702109;31725732;27740879;17913827;15110181;29521598		False	2	0;0;0	1.143	False		ENSG00000121858	ENSG00000121858	HGNC:11925													
ABCA7	gene	ABCA7	Literature	COVID-19 research		Viral research	Unknown					DOI:10.3390/genes12111842		False	1	0;100;0	1.143	False		ENSG00000064687	ENSG00000064687	HGNC:37													
ABCB1	gene	ABCB1	Expert list;Expert Review Red;OMIM	COVID-19 research		Viral research	Unknown					18547906;26922556		False	1	0;0;100	1.143	False		ENSG00000085563	ENSG00000085563	HGNC:40													
ABCC1	gene	ABCC1	Expert list;Expert Review Red;OMIM	COVID-19 research		Viral research	Unknown							False	1	0;0;100	1.143	False		ENSG00000103222	ENSG00000103222	HGNC:51													
ABI3	gene	ABI3	Literature	COVID-19 research		Viral research	Unknown							False	1	0;0;100	1.143	False		ENSG00000108798	ENSG00000108798	HGNC:29859													
ACE	gene	ACE	Expert Review Red;Literature	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Not associated with susceptibility to SARS-coronavirus infection and disease outcomes				15819995		False	1	0;0;100	1.143	True		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACKR1	gene	ACKR1	Expert Review Red;OMIM	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	[Blood group, Duffy system] 110700				19180233;18621010;19620399		False	1	0;0;0	1.143	False		ENSG00000213088	ENSG00000213088	HGNC:4035													
AKT1	gene	AKT1	Expert Review Red;OMIM	COVID-19 research		Viral research		Cowden syndrome 6 615109				17931677;26246517		False	1	0;0;0	1.143	False		ENSG00000142208	ENSG00000142208	HGNC:391													
